Ano	Vazao
1940	4696
1941	7137
1942	2078
1943	1612
1944	2164
1945	2366
1946	4731
1947	1998
1948	2996
1949	2511
1950	5458
1951	2564
1952	1721
1953	3557
1954	7288
1955	3314
1956	5984
1957	3891
1958	3629
1959	4339
1960	3499
1961	4523
1962	1362
1963	4224
1964	2549
1965	3208
1966	3682
1967	4085
1968	1921
1969	1832
1970	2326
1971	2981
1972	4805
1973	4198
1974	2269
1975	2897
1976	4887
1977	6281
1978	2265
1979	2765
1980	5105
1981	2510
1982	4506
1983	7761
1984	3974
1985	3099
1986	2655
1987	3663
1988	5907
1989	7001
1990	7284
1991	3369
1992	7148
1993	5199
1994	2761
1995	2293
1996	2556
1997	6845
1998	3923
1999	2038
2000	8640
2001	8508
2002	4879
2003	4445
2004	1463
2005	5596
2006	2455
2007	6643
2008	13099
2009	7554
2010	4202
2011	9351
2012	4107
2013	6396
2014	4608
2015	7582
2016	7473
2017	4463
2018	4132
2019	5287
2020	10547
2021	1787
2022	4488
2023	15210
