Data	Vazao (m³/s)	Nivel (cm)	Chuva (mm)
2014-09-12 03:00:00	24.90	2.49	4.20
2014-09-14 09:00:00	41.90	2.71	0.00
2014-09-15 08:00:00	32.10	2.59	0.00
2014-09-18 03:00:00		1.47	0.00
2014-09-19 02:00:00		1.62	0.00
2014-09-19 16:00:00		1.47	0.00
2014-09-19 17:00:00		1.67	0.00
2014-09-20 04:00:00		1.17	0.60
2014-09-20 07:00:00		1.12	0.00
2014-09-20 10:00:00		1.14	0.00
2014-09-20 14:00:00		1.14	0.00
2014-09-20 16:00:00		1.24	0.20
2014-09-21 01:00:00		1.57	0.00
2014-09-21 05:00:00		1.02	0.00
2014-09-21 13:00:00		1.49	0.00
2014-09-21 15:00:00		1.49	0.00
2014-09-21 17:00:00		1.49	0.00
2014-09-21 18:00:00		1.47	0.00
2014-09-22 04:00:00		1.07	0.00
2014-09-22 08:00:00		1.07	0.00
2014-09-22 09:00:00		1.17	0.00
2014-09-22 11:00:00		1.59	0.00
2014-09-22 12:00:00		1.62	0.00
2014-09-22 19:00:00		1.64	0.00
2014-09-22 23:00:00		1.64	0.00
2014-09-23 01:00:00		1.37	0.00
2014-09-23 02:00:00		1.14	0.00
2014-09-23 07:00:00		1.02	0.00
2014-09-23 10:00:00		0.99	0.00
2014-09-23 12:00:00		1.44	0.00
2014-09-24 14:00:00		22.76	0.00
2014-09-24 16:00:00		22.76	0.00
2014-09-25 00:00:00		22.76	0.00
2014-09-25 01:00:00		22.76	0.00
2014-09-25 09:00:00		22.76	0.00
2014-09-25 18:00:00		22.76	0.00
2014-09-25 19:00:00		22.76	0.00
2014-09-25 23:00:00		22.76	0.60
2014-09-26 02:00:00		22.76	8.20
2014-09-26 03:00:00		22.76	2.60
2014-09-26 22:00:00		22.76	0.00
2014-09-27 16:00:00		22.76	0.00
2014-09-27 22:00:00		22.76	0.00
2014-09-28 09:00:00		22.76	0.00
2014-09-28 13:00:00		22.76	0.00
2014-09-29 01:00:00		22.76	6.60
2014-09-29 06:00:00		22.76	0.00
2014-09-29 08:00:00		22.76	0.00
2014-09-29 20:00:00		22.76	0.00
2014-09-29 21:00:00		22.76	0.00
2014-09-30 05:00:00		22.76	0.00
2014-09-30 09:00:00		22.76	1.60
2014-09-30 10:00:00		22.76	2.60
2014-09-30 14:00:00		22.76	0.40
2014-09-30 18:00:00		22.76	0.00
2014-09-30 22:00:00		22.76	0.60
2014-10-01 06:00:00		22.76	0.00
2014-10-01 08:00:00		22.76	0.00
2014-10-01 09:00:00		22.76	0.00
2014-10-01 22:00:00		22.76	0.00
2014-10-02 17:00:00		22.76	0.00
2014-10-02 23:00:00		22.76	0.00
2014-10-03 01:00:00		22.76	0.00
2014-10-03 02:00:00		22.76	0.00
2014-10-03 11:00:00		22.76	0.00
2014-10-03 21:00:00		22.76	0.00
2014-10-03 23:00:00		22.76	0.00
2014-10-04 02:00:00		22.76	0.00
2014-10-04 04:00:00		22.76	0.00
2014-10-04 14:00:00		22.76	0.00
2014-10-04 15:00:00		22.76	0.00
2014-10-04 17:00:00		22.76	0.00
2014-10-04 19:00:00		22.76	0.00
2014-10-05 05:00:00		22.74	0.00
2014-10-05 09:00:00		22.76	0.00
2014-10-05 10:00:00		22.76	0.00
2014-10-05 14:00:00		22.76	0.00
2014-10-05 15:00:00		22.76	0.00
2014-10-05 16:00:00		22.76	0.00
2014-10-06 05:00:00		22.71	0.00
2014-10-06 11:00:00		22.74	0.20
2014-10-06 16:00:00		22.76	0.00
2014-10-06 20:00:00		22.76	0.00
2014-10-06 21:00:00		22.74	0.00
2014-10-07 05:00:00		22.31	0.00
2014-10-07 08:00:00		22.34	0.00
2014-10-07 10:00:00		22.66	0.00
2014-10-07 18:00:00		22.76	0.00
2014-10-07 23:00:00		22.51	0.00
2014-10-08 04:00:00		22.09	0.00
2014-10-08 05:00:00		22.06	0.00
2014-10-08 07:00:00		21.97	0.00
2014-10-08 14:00:00		22.76	0.00
2014-10-08 17:00:00		22.76	0.00
2014-10-08 19:00:00		22.74	0.00
2014-10-09 02:00:00		22.16	0.00
2014-10-09 03:00:00		22.11	0.00
2014-10-09 05:00:00		22.11	0.00
2014-10-09 07:00:00		22.06	0.00
2014-10-09 08:00:00		22.01	0.00
2014-10-09 18:00:00		22.36	0.00
2014-10-10 06:00:00		21.72	0.00
2014-10-10 08:00:00		21.82	0.00
2014-10-10 09:00:00		22.76	0.00
2014-10-10 11:00:00		22.69	0.00
2014-10-10 16:00:00		22.26	0.00
2014-10-10 23:00:00		21.87	0.00
2014-10-11 00:00:00		21.82	0.00
2014-10-11 03:00:00		22.76	0.20
2014-10-11 05:00:00		22.76	0.00
2014-10-11 09:00:00		22.69	0.00
2014-10-11 10:00:00		22.51	0.00
2014-10-11 16:00:00		21.62	0.00
2014-10-11 21:00:00		22.76	0.40
2014-10-11 23:00:00		22.76	0.60
2014-10-12 04:00:00		22.76	0.00
2014-10-12 06:00:00		22.76	0.00
2014-10-12 10:00:00		22.76	0.00
2014-10-12 12:00:00		22.76	0.00
2014-10-12 13:00:00		22.76	0.00
2014-10-12 19:00:00		22.76	0.00
2014-10-12 22:00:00		22.76	0.00
2014-10-12 23:00:00		22.76	0.00
2014-10-13 00:00:00		22.76	0.00
2014-10-13 01:00:00		22.76	0.00
2014-10-13 02:00:00		22.76	0.00
2014-10-13 07:00:00		22.76	0.00
2015-05-22 14:00:00	105.20	326.00	0.00
2015-05-22 15:00:00	112.50	331.00	0.00
2015-05-22 16:00:00	112.50	331.00	0.00
2015-05-22 17:00:00	132.50	344.00	0.00
2015-05-22 18:00:00	172.10	367.00	0.00
2015-05-22 19:00:00	181.50	372.00	0.00
2015-05-22 20:00:00	185.30	374.00	0.00
2015-05-22 21:00:00	185.30	374.00	0.00
2015-05-22 22:00:00	191.10	377.00	0.00
2015-05-22 23:00:00	191.10	377.00	0.00
2015-05-23 00:00:00	191.10	377.00	0.00
2015-05-23 01:00:00	191.10	377.00	0.00
2015-05-23 02:00:00	166.70	364.00	0.00
2015-05-23 03:00:00	127.70	341.00	0.00
2015-05-23 04:00:00	91.50	316.00	0.00
2015-05-23 05:00:00	60.40	290.00	0.20
2015-05-23 06:00:00	47.40	277.00	0.00
2015-05-23 07:00:00	41.10	270.00	0.00
2015-05-23 08:00:00	38.50	267.00	0.00
2015-05-23 09:00:00	36.00	264.00	0.00
2015-05-23 10:00:00	36.00	264.00	0.00
2015-05-23 11:00:00	47.40	277.00	0.00
2015-05-23 12:00:00	75.10	303.00	0.00
2015-05-23 13:00:00	94.10	318.00	0.00
2015-05-23 14:00:00	101.00	323.00	0.00
2015-05-23 15:00:00	105.20	326.00	0.00
2015-05-23 16:00:00	120.00	336.00	0.00
2015-05-23 17:00:00	140.60	349.00	0.00
2015-05-23 18:00:00	135.70	346.00	0.00
2015-05-23 19:00:00	120.00	336.00	0.00
2015-05-23 20:00:00	112.50	331.00	0.00
2015-05-23 21:00:00	112.50	331.00	0.00
2015-05-23 22:00:00	112.50	331.00	0.00
2015-05-23 23:00:00	112.50	331.00	0.00
2015-05-24 00:00:00	115.40	333.00	5.80
2015-05-24 01:00:00	105.20	326.00	7.20
2015-05-24 02:00:00	69.30	298.00	1.40
2015-05-24 03:00:00	52.20	282.00	1.00
2015-05-24 04:00:00	45.50	275.00	0.40
2015-05-24 05:00:00	41.10	270.00	0.00
2015-05-24 06:00:00	38.50	267.00	0.00
2015-05-24 07:00:00	36.00	264.00	0.00
2015-05-24 08:00:00	36.00	264.00	0.00
2015-05-24 09:00:00	36.00	264.00	0.00
